# x/mm I/mikroA I/mikroA
20.000 5.000 0.210
19.000 5.200 0.310
18.000 6.300 0.410
17.000 7.400 0.640
16.000 7.800 0.840
15.000 8.300 0.980
14.000 7.600 1.340
13.000 7.100 1.600
12.000 6.500 1.750
11.000 6.100 1.800
10.000 5.500 1.600
9.000 4.600 1.300
8.000 3.700 0.900
7.000 2.700 0.600
6.000 2.400 0.200
5.000 1.700 0.060
4.000 1.300 0.080
3.000 0.900 0.260
2.000 0.600 0.500
1.000 0.400 0.800
0.000 0.200 1.070
-1.000 0.000 1.220
-2.000 0.000 1.400
-3.000 0.000 1.560
-4.000 0.000 1.600
-5.000 0.000 1.400
-6.000 0.000 1.200
-7.000 0.000 0.800
-8.000 0.000 0.670
-9.000 0.000 0.500
-10.000 0.000 0.350
-11.000 0.000 0.240
-12.000 0.000 0.150
-13.000 0.000 0.060
-14.000 0.000 0.040
-15.000 0.000 0.037
-16.000 0.000 0.030
-17.000 0.000 0.018
-18.000 0.000 0.013
-19.000 0.000 0.013
-20.000 0.000 0.015
